,,,corr,"mic,c_ksg,4","mic,c_ksg,6","mic,c_ksg,9","mic,c_ksg,13","mic,c_ksg,17","mic,c_ksg,22","mic,c_ksg,28","mic,c_ksg,35","mic,m_ross,4"
4,Life expectancy,"Measles, first dose (MCV1)",0.629347526345103,0.36958426515055676,0.383869411187419,0.37592591677692994,0.3561640905808581,0.3488628995563802,0.34378926924301173,0.33006890510507897,0.32269775419691055,
4,Life expectancy,Polio (Pol3),0.6422704229628289,0.3560374754127751,0.34574449013343056,0.336758039771398,0.33053909409667526,0.3228837607677143,0.31216742387184665,0.2999907700093107,0.2990091774470123,
4,Life expectancy,Tetanus (DTP3),0.6363100596477441,0.38037303878306167,0.37129741959617096,0.3590448466020961,0.3494815681154884,0.3404587350589193,0.32348151304623646,0.3137139230500267,0.3058608457355507,
4,Life expectancy,Military expenditure (% of GDP),0.08042332326214278,0.10132819007604581,0.1051946043106341,0.10841753009009221,0.1008252882782074,0.09144639192018378,0.0867638986123314,0.076811822549412,0.07064351899424312,
4,Life expectancy,Political regime,0.4866434540373034,,,,,,,,,0.3171569305035469
4,Life expectancy,"Population, total",0.026769086746680076,-8.881784197001252e-16,9.551098376313242e-05,-8.881784197001252e-16,8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,0.0,
4,Life expectancy,Share of the population using the Internet,0.7333399230139911,0.6597625077480919,0.6567000213309698,0.6521362055490262,0.6407686035047758,0.6366139122514313,0.6319445566280574,0.6285642667419765,0.6281087405147553,
4,Life expectancy,Share of the population using at least basic sanitation,0.8709774923458802,1.0801228233489075,1.0439792284949292,0.9957346474390505,0.980289497762038,0.9590204511208432,0.9422214878633205,0.9321600110411777,0.918966017323018,
4,Life expectancy,Share of the labor force employed in agriculture,-0.7861373200594849,0.8508153275264718,0.8134466185926937,0.7633549303279082,0.7321015237499007,0.7166856345741637,0.6996186347408722,0.6884607321681026,0.6769553018830838,
4,Life expectancy,Share of the population with access to electricity,0.8630757499618128,0.9189610096326222,0.9211959820018591,0.9072647843908721,0.890254049058114,0.8793853490240621,0.862554640019207,0.8489594663737269,0.8351701607156095,
